SrcAddr,-1_5.0,-1_2.0,-1_0.0,-1_3.0,-1_4.0,-1_1.0,label
147.32.84.165,3.0,0.0,5.0,1.0,8671.0,0.0,1
147.32.84.191,3.0,0.0,5.0,1.0,8369.0,2.0,1
147.32.84.192,3.0,0.0,5.0,1.0,8369.0,2.0,1
0.0.0.0,3.0,0.0,5.0,1.0,8369.0,2.0,0
00:00:00:00:00:00,3.0,0.0,5.0,1.0,8369.0,2.0,0
00:15:17:2c:e5:2d,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.112.197.149,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.112.230.250,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.113.221.81,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.113.99.203,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.153.142.175,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.153.209.213,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.160.239.5,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.160.27.159,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.160.5.119,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.160.98.208,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.161.132.69,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.168.136.212,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.168.145.134,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.169.122.228,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.169.184.211,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.170.135.215,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.170.149.108,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.171.108.19,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.171.111.28,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.172.3.173,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.174.130.217,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.186.3.195,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.202.23.225,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.43.72.161,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.44.83.211,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.53.102.66,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.53.135.180,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.54.19.134,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.64.165.7,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.64.36.243,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.64.53.136,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.100.110,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.100.152,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.100.53,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.100.79,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.100.97,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.102.99,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.103.206,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.96.123,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.98.134,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.98.203,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.98.216,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.98.45,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.99.142,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.99.19,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.99.85,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.66.99.9,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.72.0.237,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.72.0.244,3.0,0.0,5.0,1.0,8369.0,2.0,0
1.72.0.50,3.0,0.0,5.0,1.0,8369.0,2.0,0
